"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2022 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","73","73","68","0"
"2022 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","36","35","24","0"
"2022 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","21","20","18","0"
"2022 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","120","118","113","44"
"2022 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","59","59","54","14"
"2022 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","106","104","87","0"
"2022 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","9","9","2","0"
"2022 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","17","17","15","0"
"2022 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","37","34","25","0"
"2022 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","60","60","54","0"
"2022 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","34","34","29","1"
"2022 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","79","79","75","0"
"2022 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","122","122","120","35"
"2022 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","6","6","5","0"
"2022 General Election","01030","TOWN OF ROME - ADAMS COUNTY","702","702","682","390"
"2022 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","120","120","89","7"
"2022 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","59","59","57","0"
"2022 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","43","42","40","8"
"2022 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","105","105","89","29"
"2022 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","32","30","30","6"
"2022 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","51","43","38","0"
"2022 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","26","26","25","5"
"2022 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","73","73","55","0"
"2022 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","22","11","0","0"
"2022 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","14","14","12","0"
"2022 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","80","80","77","35"
"2022 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","26","0","0",""
"2022 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","50","50","43","0"
"2022 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","8","6","6","1"
"2022 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","26","26","20","0"
"2022 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","7","6","6","0"
"2022 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","47","47","36","0"
"2022 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","25","23","22","6"
"2022 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","988","986","892","256"
"2022 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","50","50","46","0"
"2022 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","73","73","54","0"
