County,HINDI,Muni,VoterCount
ADAMS COUNTY,1002,TOWN OF ADAMS ,844
ADAMS COUNTY,1004,TOWN OF BIG FLATS ,641
ADAMS COUNTY,1006,TOWN OF COLBURN ,174
ADAMS COUNTY,1008,TOWN OF DELL PRAIRIE ,1099
ADAMS COUNTY,1010,TOWN OF EASTON ,659
ADAMS COUNTY,1012,TOWN OF JACKSON ,774
ADAMS COUNTY,1014,TOWN OF LEOLA ,197
ADAMS COUNTY,1016,TOWN OF LINCOLN ,232
ADAMS COUNTY,1018,TOWN OF MONROE ,315
ADAMS COUNTY,1020,TOWN OF NEW CHESTER ,572
ADAMS COUNTY,1022,TOWN OF NEW HAVEN ,433
ADAMS COUNTY,1024,TOWN OF PRESTON ,846
ADAMS COUNTY,1026,TOWN OF QUINCY ,855
ADAMS COUNTY,1028,TOWN OF RICHFIELD ,118
ADAMS COUNTY,1030,TOWN OF ROME ,2516
ADAMS COUNTY,1032,TOWN OF SPRINGVILLE ,827
ADAMS COUNTY,1034,TOWN OF STRONGS PRAIRIE ,813
ADAMS COUNTY,1126,VILLAGE OF FRIENDSHIP ,346
ADAMS COUNTY,1201,CITY OF ADAMS ,937
ASHLAND COUNTY,2002,TOWN OF AGENDA ,275
ASHLAND COUNTY,2004,TOWN OF ASHLAND ,365
ASHLAND COUNTY,2006,TOWN OF CHIPPEWA ,243
ASHLAND COUNTY,2008,TOWN OF GINGLES ,547
ASHLAND COUNTY,2010,TOWN OF GORDON ,202
ASHLAND COUNTY,2012,TOWN OF JACOBS ,406
ASHLAND COUNTY,2014,TOWN OF LA POINTE ,341
ASHLAND COUNTY,2016,TOWN OF MARENGO ,250
ASHLAND COUNTY,2018,TOWN OF MORSE ,363
ASHLAND COUNTY,2020,TOWN OF PEEKSVILLE ,109
ASHLAND COUNTY,2022,TOWN OF SANBORN ,627
ASHLAND COUNTY,2024,TOWN OF SHANAGOLDEN ,94
ASHLAND COUNTY,2026,TOWN OF WHITE RIVER ,619
