county,ctv,jurisdiction,Total Votes Cast,DEM,REP
ADAMS,C,Adams,789,322,458
ADAMS,C,Wisconsin Dells,25,9,16
ADAMS,T,Adams,741,263,465
ADAMS,T,Big Flats,565,190,358
ADAMS,T,Colburn,143,44,97
ADAMS,T,Dell Prairie,992,358,630
ADAMS,T,Easton,569,184,377
ADAMS,T,Jackson,676,262,406
ADAMS,T,Leola,168,35,132
ADAMS,T,Lincoln,213,71,140
ADAMS,T,Monroe,295,122,173
ADAMS,T,New Chester,532,174,351
ADAMS,T,New Haven,416,168,243
ADAMS,T,Preston,792,291,494
ADAMS,T,Quincy,752,309,438
ADAMS,T,Richfield,104,27,75
ADAMS,T,Rome,2254,849,1390
ADAMS,T,Springville,791,269,508
ADAMS,T,Strongs Prairie,711,269,438
ADAMS,V,Friendship,290,113,173
ASHLAND,C,Ashland,4253,2660,1518
ASHLAND,C,Mellen,345,173,170
ASHLAND,T,Agenda,257,65,191
ASHLAND,T,Ashland,314,152,159
ASHLAND,T,Chippewa,223,75,147
ASHLAND,T,Gingles,502,239,254
ASHLAND,T,Gordon,183,67,113
ASHLAND,T,Jacobs,367,116,249
ASHLAND,T,La Pointe,294,236,52
ASHLAND,T,Marengo,228,110,113
ASHLAND,T,Morse,336,158,175
ASHLAND,T,Peeksville,99,34,64
ASHLAND,T,Sanborn,530,442,85
ASHLAND,T,Shanagolden,83,38,45
ASHLAND,T,White River,559,162,396
ASHLAND,V,Butternut,184,74,110
BARRON,C,Barron,1532,683,837
BARRON,C,Chetek,1149,415,718
BARRON,C,Cumberland,1185,492,681
BARRON,C,Rice Lake,4301,1925,2292
BARRON,T,Almena,583,171,405
BARRON,T,Arland,346,123,215
BARRON,T,Barron,420,109,304
BARRON,T,Bear Lake,444,174,266
BARRON,T,Cedar Lake,785,256,525
BARRON,T,Chetek,1189,462,713
BARRON,T,Clinton,396,121,272
BARRON,T,Crystal Lake,469,147,320
BARRON,T,Cumberland,492,169,315
BARRON,T,Dallas,311,82,225
BARRON,T,Dovre,443,144,297
BARRON,T,Doyle,316,98,214
BARRON,T,Lakeland,621,214,401
BARRON,T,Maple Grove,497,118,371
BARRON,T,Maple Plain,516,219,291
BARRON,T,Oak Grove,537,189,343
BARRON,T,Prairie Farm,328,105,221
BARRON,T,Prairie Lake,975,285,683
BARRON,T,Rice Lake,1739,674,1039
BARRON,T,Sioux Creek,367,111,251
BARRON,T,Stanfold,407,129,274
BARRON,T,Stanley,1514,476,1017
BARRON,T,Sumner,462,145,308
BARRON,T,Turtle Lake,360,108,244
BARRON,T,Vance Creek,382,131,248
BARRON,V,Almena,338,85,246
BARRON,V,Cameron,933,298,615
BARRON,V,Dallas,182,44,137
BARRON,V,Haugen,155,60,90
BARRON,V,New Auburn,11,5,5
BARRON,V,Prairie Farm,218,66,147
BARRON,V,Turtle Lake,443,161,273
BAYFIELD,C,Ashland,0,0,0
BAYFIELD,C,Bayfield,373,314,57
BAYFIELD,C,Washburn,1283,944,320
BAYFIELD,T,Barksdale,537,291,241
BAYFIELD,T,Barnes,673,321,346
BAYFIELD,T,Bayfield,564,399,158
BAYFIELD,T,Bayview,368,227,137
BAYFIELD,T,Bell,266,182,82
BAYFIELD,T,Cable,614,270,339
BAYFIELD,T,Clover,207,118,88
BAYFIELD,T,Delta,256,120,132
BAYFIELD,T,Drummond,372,196,168
BAYFIELD,T,Eileen,471,211,258
BAYFIELD,T,Grand View,358,160,192
BAYFIELD,T,Hughes,350,160,189
BAYFIELD,T,Iron River,812,366,440
BAYFIELD,T,Kelly,269,108,157
BAYFIELD,T,Keystone,236,89,143
BAYFIELD,T,Lincoln,193,76,114
BAYFIELD,T,Mason,191,82,108
BAYFIELD,T,Namakagon,265,113,151
BAYFIELD,T,Orienta,102,44,58
BAYFIELD,T,Oulu,380,178,200
BAYFIELD,T,Pilsen,155,85,65
BAYFIELD,T,Port Wing,279,148,126
BAYFIELD,T,Russell,699,601,91
BAYFIELD,T,Tripp,146,64,82
BAYFIELD,T,Washburn,405,256,143
BAYFIELD,V,Mason,56,24,32
BROWN,C,De Pere,14393,7021,7070
BROWN,C,Green Bay,47128,25036,21125
BROWN,T,Eaton,1061,323,725
BROWN,T,Glenmore,682,180,493
BROWN,T,Green Bay,1409,379,1011
BROWN,T,Holland,1016,302,703
BROWN,T,Humboldt,848,230,610
BROWN,T,Lawrence,4025,1518,2423
BROWN,T,Ledgeview,5348,2326,2901
BROWN,T,Morrison,979,196,768
BROWN,T,New Denmark,1028,324,689
BROWN,T,Pittsfield,1891,525,1336
BROWN,T,Rockland,1217,408,787
BROWN,T,Scott,2554,1024,1505
BROWN,T,Wrightstown,1519,445,1053
BROWN,V,Allouez,8451,4475,3805
BROWN,V,Ashwaubenon,10276,4635,5459
BROWN,V,Bellevue,8869,4053,4694
BROWN,V,Denmark,1279,436,820
BROWN,V,Hobart,5907,2500,3314
BROWN,V,Howard,12211,5068,6948
BROWN,V,Pulaski,1901,655,1218
BROWN,V,Suamico,8349,2894,5333
BROWN,V,Wrightstown,1676,558,1081
BUFFALO,C,Alma,476,213,254
BUFFALO,C,Buffalo City,636,275,356
BUFFALO,C,Fountain City,456,222,224
BUFFALO,C,Mondovi,1328,465,842
BUFFALO,T,Alma,180,82,96
BUFFALO,T,Belvidere,282,84,194
BUFFALO,T,Buffalo,498,201,283
BUFFALO,T,Canton,173,56,115
BUFFALO,T,Cross,232,78,150
BUFFALO,T,Dover,261,98,161
BUFFALO,T,Gilmanton,244,77,162
BUFFALO,T,Glencoe,245,75,169
BUFFALO,T,Lincoln,127,47,78
BUFFALO,T,Maxville,201,44,152
BUFFALO,T,Milton,376,146,223
BUFFALO,T,Modena,170,72,98
BUFFALO,T,Mondovi,283,83,195
BUFFALO,T,Montana,159,45,110
BUFFALO,T,Naples,419,122,289
BUFFALO,T,Nelson,348,105,240
BUFFALO,T,Waumandee,329,110,214
BUFFALO,V,Cochrane,231,91,136
BUFFALO,V,Nelson,162,69,93
BURNETT,T,Anderson,263,69,190
BURNETT,T,Blaine,146,37,106
BURNETT,T,Daniels,414,128,282
BURNETT,T,Dewey,309,92,216
BURNETT,T,Grantsburg,680,208,465
BURNETT,T,Jackson,706,299,400
BURNETT,T,La Follette,338,143,189
BURNETT,T,Lincoln,196,47,147
BURNETT,T,Meenon,665,195,467
BURNETT,T,Oakland,684,299,381
BURNETT,T,Roosevelt,132,36,93
BURNETT,T,Rusk,286,99,185
BURNETT,T,Sand Lake,334,144,183
BURNETT,T,Scott,452,203,248
BURNETT,T,Siren,624,209,410
BURNETT,T,Swiss,467,206,258
